Date,Close
2/20/2020,17.14
2/21/2020,17.28
2/24/2020,17.4
2/25/2020,16.71
2/26/2020,16.68
2/27/2020,16.47
2/28/2020,15.53
3/2/2020,15.56
3/3/2020,16.02
3/4/2020,16.09
3/5/2020,16.3
3/6/2020,16.18
3/9/2020,15.88
3/10/2020,15.73
3/11/2020,15.63
3/12/2020,14.62
3/13/2020,13.69
3/16/2020,12
3/17/2020,11.88
3/18/2020,11.21
3/19/2020,11.32
3/20/2020,11.62
3/23/2020,12.31
3/24/2020,13.29
3/25/2020,13.51
3/26/2020,13.53
3/27/2020,13.44
3/30/2020,13.16
3/31/2020,13.05
4/1/2020,13.02
4/2/2020,13.53
4/3/2020,13.46
4/6/2020,14.03
4/7/2020,13.99
4/8/2020,13.94
4/9/2020,14.34
4/13/2020,14.4
4/14/2020,14.65
4/15/2020,14.49
4/16/2020,14.51
4/17/2020,14.15
